claim_id,claim_text,evidence_class,source_id,source_path,source_location,status,confidence,notes
CLM-011,"STM32F10xxx is a representative reference architecture for later project explanation, not verified commercial-card hardware.",proposed_reference_design,PRD-003,evidence/assumptions_and_unknowns.md,"Possible future reference-design elements",not_applicable,high,"The commercial processor remains unknown."
CLM-012,"ARMv7-A/R architecture documentation is not the STM32 Cortex-M architecture documentation.",external_technical_evidence,SRC-ARM-002,literature/DDI0406C_C_ARMv7_arm_architecture_reference_manual.pdf,"Preface, About this manual",supported,high,"The source itself directs readers to a separate ARMv7-M manual."
CLM-013,"Wiegand-26 is the proposed initial simulator input format, not verified commercial product support.",proposed_reference_design,PRD-002,evidence/assumptions_and_unknowns.md,"Possible future reference-design elements",not_applicable,high,"SRC-WIEGAND-001 supports the signaling/frame concepts; a format-specific field allocation must be documented before implementation."
CLM-014,"The commercial processor and processor architecture remain unknown.",unknown_or_unresolved,UNK-004,evidence/assumptions_and_unknowns.md,Unknowns,superseded,high,"Duplicate of canonical active claim CLM-003; retained for ID history."
CLM-015,"The commercial output electrical characteristics, relay or driver type, and isolation design remain unknown.",unknown_or_unresolved,UNK-007,evidence/assumptions_and_unknowns.md,Unknowns,unresolved,high,"No image, schematic, or datasheet is available."
CLM-016,"Elevator motion, brake, door, and passenger-safety control are outside the project's scope.",engineering_inference,INF-001,evidence/assumptions_and_unknowns.md,"Engineering inferences",supported,high,"Project safety boundary; not a description of commercial-card behavior."
CLM-017,"General RFID systems include tags and readers and commonly include enterprise processing of reader-acquired data.",external_technical_evidence,SRC-RFID-001,literature/nist_sp_800_98_rfid.pdf,"§§2.2–2.4",supported,high,"General RFID evidence only; not a product implementation claim."
CLM-018,"A documented Wiegand reader interface uses D0 and D1 low pulses to transmit zero and one bits from a reader to an access-control system.",external_technical_evidence,SRC-WIEGAND-001,https://docs.baltech.de/developers/wiegand.html,"Wiegand specification; Data wires",supported,high,"BALTECH implementation evidence; commercial product support remains unknown."
CLM-019,"No authoritative physical elevator-integration source has been identified.",unknown_or_unresolved,SRC-MISSING-006,evidence/unresolved_sources.md,SRC-MISSING-006,unresolved,high,"Non-blocking for abstract requirements and simulation; blocking for wiring, installation, certification, or physical interface claims."
CLM-020,"The workflow handbook supports evidence hierarchy, bounded stages, missing-input handling, validation, and readiness discipline.",external_technical_evidence,SRC-WORKFLOW-001,general_purpose_evidence_gated_workflow_handbook_updated.md,"§§3, 5, 6, 11",supported,high,"Governance evidence only; not a technical RFID or embedded-system authority."
CLM-021,"RFID operating frequency and identifier or message format are separate system characteristics.",external_technical_evidence,SRC-RFID-001,literature/nist_sp_800_98_rfid.pdf,"§2.3.1.1 and §2.3.1.3",supported,high,"This does not assign a frequency or format to the commercial product."
CLM-022,"Wiegand message lengths and frame formats can vary, and documented standard frames may use leading even and trailing odd parity.",external_technical_evidence,SRC-WIEGAND-001,https://docs.baltech.de/developers/wiegand.html,"Message size; Frame format",supported,high,"Manufacturer implementation evidence, not a universal electrical specification."
CLM-023,"The proposed authorization model will evaluate a presented credential against authorization data, grant allowed access, deny non-authorized access, and record the decision event.",proposed_reference_design,SRC-AUTH-001,literature/nist_sp_800_53_rev5_1.pdf,"PE-2 and PE-3",not_applicable,medium,"NIST supports authorization credentials/lists, verification before grant, and audit logs; lookup representation, denial rule, and event schema are project choices."
CLM-024,"The simulator verification approach will trace requirements to tests and use repeatable unit and integration tests with controlled inputs, expected results, and evaluated outcomes.",proposed_reference_design,SRC-TEST-001,https://swehb.nasa.gov/,"SWE-052, SWE-062, SWE-065, SWE-068",not_applicable,high,"NASA guidance supports the testing discipline; project-specific acceptance criteria remain to be defined."
CLM-025,"The simulator will expose only an abstract 16-floor permission output and will not model physical elevator wiring, motors, brakes, doors, passenger-safety control, installation, or certification.",proposed_reference_design,DEC-008,docs/decision_log.md,DEC-008,not_applicable,high,"Requires supervisor or project-owner approval; physical integration remains outside scope."
CLM-026,"The commercial product's RFID frequency, credential protocol, Wiegand support, and exact communication format remain unknown.",unknown_or_unresolved,UNK-006,evidence/assumptions_and_unknowns.md,Unknowns,unresolved,high,"External RFID and Wiegand sources describe technology classes only and are not product evidence."
