requirement_id,requirement_summary,architecture_element_id,architecture_artifact,design_status,notes
DAT-001,"Use PROJECT_WIEGAND_26 allocation.",ARC-INP-001,docs/register_model.md,designed,"Logical frame register exposes bits 25:0."
DAT-002,"Use defined even and odd parity regions.",ARC-INP-001,docs/architecture.md,designed,"Profile handler owns parity rules."
DAT-003,"Store source separately from bits.",ARC-INP-001,docs/register_model.md,designed,"Separate source and frame registers."
DAT-004,"Validate credential record fields and ranges.",ARC-CRD-001,docs/architecture.md,designed,"Repository initialization validates records."
DAT-005,"Use composite key and reject duplicates.",ARC-CRD-001,docs/architecture.md,designed,"No silent replacement."
DAT-006,"Map floors to 16-bit mask.",ARC-AUT-001,docs/register_model.md,designed,"Floor f maps to bit f-1."
DAT-007,"Represent exactly 16 Boolean outputs.",ARC-OUT-001,docs/register_model.md,designed,"Only bits 15:0 are relevant."
TIM-001,"Use bounded configurable output duration.",ARC-CFG-001,docs/register_model.md,designed,"Default and range defined."
TIM-002,"Use injectable monotonic time.",ARC-TIM-001,docs/architecture.md,designed,"Clock owns logical advancement."
TIM-003,"Use default 2000 ms watchdog.",ARC-WDG-001,docs/register_model.md,designed,"Deadline and expiration contract defined."
LOG-001,"Log every required event category.",ARC-LOG-001,docs/architecture.md,designed,"Canonical event enumeration covers categories."
LOG-002,"Include every minimum event field.",ARC-LOG-001,docs/architecture.md,designed,"All fields always present with null when unavailable."
LOG-003,"Use monotonic sequence and timestamps.",ARC-LOG-001,docs/register_model.md,designed,"Logger owns sequence; clock owns timestamp."
RST-001,"Startup and manual reset to inactive idle.",ARC-CTL-001,docs/architecture.md,designed,"Ordered reset sequence defined."
RST-002,"Manual reset cancels expiry and logs once.",ARC-CTL-001,docs/architecture.md,designed,"State change survives logging failure."
RST-003,"Invalid input cannot corrupt later processing.",ARC-CTL-001,docs/architecture.md,designed,"Transient state cleared on failure."
RST-004,"Watchdog reset and recover.",ARC-WDG-001,docs/architecture.md,designed,"One expiry request and full reset sequence."
NFR-001,"Produce deterministic logical results.",ARC-CTL-001,docs/architecture.md,designed,"Deterministic ordering and simulated time."
NFR-002,"Use separately testable responsibilities.",ARC-HWR-001,docs/architecture.md,designed,"Element catalog separates ownership."
NFR-003,"Use no network or hardware normally.",ARC-BND-001,docs/architecture.md,designed,"Logical interfaces only."
NFR-004,"Support Python 3.11+ dependency policy.",ARC-CFG-001,docs/architecture.md,designed,"Implementation dependency validation handed to SP-05."
NFR-005,"Run automated tests through pytest.",ARC-TST-001,docs/architecture.md,designed,"Harness owns verification execution boundary."
NFR-006,"Regenerate data from seed/config ID.",ARC-TST-001,docs/register_model.md,designed,"Diagnostic region owns scenario identifier."
NFR-007,"Export machine-readable results.",ARC-TST-001,docs/architecture.md,designed,"Harness output contract reserved."
NFR-008,"Use UTF-8 and relative paths.",ARC-CLI-001,docs/architecture.md,designed,"Adapter and artifacts preserve portability."
NFR-009,"Handle invalid input/config deterministically.",ARC-CTL-001,docs/architecture.md,designed,"Fail-closed failure table and recovery."
NFR-010,"Optionally persist credential storage.",ARC-CRD-001,docs/architecture.md,deferred_optional,"In-memory MVP; persistence deferred."
NFR-011,"Optionally add GUI or enhanced CLI.",ARC-CLI-001,docs/architecture.md,deferred_optional,"Simple adapter only in required path."
NFR-012,"Consider physical adapters only after approval.",ARC-BND-001,docs/architecture.md,deferred_optional,"Conceptual boundaries only."
VER-001,"Trace every required requirement.",ARC-VER-001,docs/architecture_to_requirements.csv,designed,"This matrix supplies architecture coverage."
VER-002,"Cover input and authorization cases.",ARC-TST-001,docs/architecture.md,designed,"Observation and injection boundaries defined."
VER-003,"Cover timing, reset, watchdog, recovery, logs.",ARC-TST-001,docs/architecture.md,designed,"Clock and fault injection are architectural interfaces."
VER-004,"Test both source labels and replay.",ARC-TST-001,docs/architecture.md,designed,"Harness drives equivalent LF/HF scenarios."
VER-005,"Run four scalability sizes.",ARC-VER-001,docs/register_model.md,designed,"Diagnostic region supports experiment records."
VER-006,"Collect frozen metrics.",ARC-VER-001,docs/architecture.md,designed,"Metrics remain software-model observations."
VER-007,"Preserve expected and actual evaluation data.",ARC-VER-001,docs/architecture.md,designed,"Verification record boundary defined."
VER-008,"Record environment and result limits.",ARC-LIM-001,docs/architecture.md,designed,"Interpretation boundary is explicit."
VER-009,"Optionally evaluate extra sizes/profiles.",ARC-VER-001,docs/architecture.md,deferred_optional,"Only after required experiments."
LIM-001,"Label frozen values as project decisions.",ARC-LIM-001,docs/architecture.md,designed,"Document status and limitations qualify them."
LIM-002,"Prohibit unsupported commercial claims.",ARC-LIM-001,docs/architecture.md,designed,"No product technology assigned."
LIM-003,"Exclude physical elevator and safety behavior.",ARC-BND-001,docs/architecture.md,designed,"Conceptual architecture ends at abstract boundary."
LIM-004,"Limit conclusions to software model/environment.",ARC-LIM-001,docs/architecture.md,designed,"No physical performance inference."
SCP-002,"Represent conceptual controller-class hardware separately.",ARC-HWR-001,docs/architecture.md,designed,"Unifies conceptual block view."
SCP-004,"Expose the logical register interface.",ARC-REG-001,docs/register_model.md,designed,"Register view documents 16 outputs and state."
DAT-004,"Organize logical state into owned regions.",ARC-MEM-001,docs/register_model.md,designed,"Nine logical memory regions defined."
SCP-005,"Conceptual power block remains outside simulator.",HWR-PWR-001,docs/architecture.md,designed,"No electrical values."
SCP-003,"Conceptual reader boundary remains outside simulator.",HWR-RDR-001,docs/architecture.md,designed,"D0/D1 context only."
SCP-005,"Conceptual input conditioning remains outside simulator.",HWR-ISO-001,docs/architecture.md,designed,"No physical conditioning design."
FUN-001,"Define complete-frame acquisition boundary.",HWR-ACQ-001,docs/architecture.md,designed,"Simulator starts after acquisition."
NFR-002,"Provide conceptual controller coordinator block.",HWR-CTL-001,docs/architecture.md,designed,"No MCU selection."
NFR-004,"Provide program-memory concept.",HWR-PGM-001,docs/architecture.md,designed,"Host software artifact only."
RST-003,"Provide working-data-memory concept.",HWR-RAM-001,docs/architecture.md,designed,"Transient logical state only."
DAT-004,"Provide credential-storage concept.",HWR-CRD-001,docs/architecture.md,designed,"No physical capacity."
TIM-002,"Provide conceptual timer function.",HWR-TIM-001,docs/architecture.md,designed,"Logical time only."
RST-004,"Provide conceptual watchdog function.",HWR-WDG-001,docs/architecture.md,designed,"Simulated model only."
LOG-001,"Provide event-log storage concept.",HWR-LOG-001,docs/architecture.md,designed,"Persistence unspecified."
NFR-009,"Provide service/configuration concept.",HWR-SVC-001,docs/architecture.md,designed,"No physical protocol."
SCP-004,"Provide 16 abstract output channels.",HWR-OUT-001,docs/architecture.md,designed,"Logical channels only."
LIM-003,"Terminate at conceptual driver/isolation boundary.",HWR-DRV-001,docs/architecture.md,designed,"No electrical design."
LIM-003,"Terminate at abstract elevator access boundary.",HWR-ELV-001,docs/architecture.md,designed,"No modeled command crosses boundary."
